locale	width	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10	month_11	month_12
apc	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
apc	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
ar-AE	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-AE	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-BH	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-BH	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-DJ	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-DJ	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-DZ	wide	جانفي	فيفري	مارس	أفريل	ماي	جوان	جويلية	أوت	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-DZ	abbreviated	جانفي	فيفري	مارس	أفريل	ماي	جوان	جويلية	أوت	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-EG	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-EG	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-EH	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-EH	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-ER	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-ER	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-IL	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-IL	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-IQ	wide	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
