locale	length	ldml_pattern	finetype_type	note
eu	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
eu	long	HH:mm:ss (z)	datetime.time.hms_24h	24h with seconds
eu	full	HH:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
ewo	short	HH:mm	datetime.time.hm_24h	24h without seconds
ewo	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ewo	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ewo	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fa	short	H:mm	datetime.time.hm_24h	24h without seconds
fa	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
fa	long	H:mm:ss (z)	datetime.time.hms_24h	24h with seconds
fa	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
fa-AF	short	H:mm	datetime.time.hm_24h	24h without seconds
fa-AF	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
fa-AF	long	H:mm:ss (z)	datetime.time.hms_24h	24h with seconds
fa-AF	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
ff	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Adlm	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Adlm	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Adlm	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Adlm	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Adlm-BF	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Adlm-BF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Adlm-BF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Adlm-BF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Adlm-CM	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Adlm-CM	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Adlm-CM	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Adlm-CM	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Adlm-GH	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Adlm-GH	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Adlm-GH	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Adlm-GH	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ff-Adlm-GM	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Adlm-GM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Adlm-GM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Adlm-GM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ff-Adlm-GW	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Adlm-GW	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Adlm-GW	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Adlm-GW	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Adlm-LR	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Adlm-LR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Adlm-LR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Adlm-LR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ff-Adlm-MR	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Adlm-MR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Adlm-MR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Adlm-MR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ff-Adlm-NE	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Adlm-NE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Adlm-NE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Adlm-NE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Adlm-NG	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Adlm-NG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Adlm-NG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Adlm-NG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Adlm-SL	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Adlm-SL	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Adlm-SL	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Adlm-SL	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ff-Adlm-SN	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Adlm-SN	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Adlm-SN	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Adlm-SN	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Latn	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Latn	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Latn	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Latn	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Latn-BF	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Latn-BF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Latn-BF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Latn-BF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Latn-CM	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Latn-CM	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Latn-CM	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Latn-CM	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Latn-GH	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Latn-GH	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Latn-GH	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Latn-GH	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ff-Latn-GM	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Latn-GM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Latn-GM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Latn-GM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ff-Latn-GN	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Latn-GN	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Latn-GN	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Latn-GN	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Latn-GW	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Latn-GW	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Latn-GW	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Latn-GW	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Latn-LR	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Latn-LR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Latn-LR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Latn-LR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ff-Latn-MR	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Latn-MR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Latn-MR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Latn-MR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ff-Latn-NE	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Latn-NE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Latn-NE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Latn-NE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Latn-NG	short	HH:mm	datetime.time.hm_24h	24h without seconds
ff-Latn-NG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ff-Latn-NG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ff-Latn-NG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ff-Latn-SL	short	h:mm a	datetime.time.hm_12h	12h without seconds
ff-Latn-SL	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ff-Latn-SL	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ff-Latn-SL	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
fil	short	h:mm a	datetime.time.hm_12h	12h without seconds
fil	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
fil	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
fil	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
fo	short	HH:mm	datetime.time.hm_24h	24h without seconds
fo	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fo	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fo	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fo-DK	short	HH:mm	datetime.time.hm_24h	24h without seconds
fo-DK	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fo-DK	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fo-DK	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-BF	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-BF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-BF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-BF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-BI	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-BI	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-BI	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-BI	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-BJ	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-BJ	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-BJ	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-BJ	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-BL	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-BL	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-BL	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-BL	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-CD	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-CD	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-CD	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-CD	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-CF	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-CF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-CF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-CF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-CG	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-CG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-CG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-CG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-CI	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-CI	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-CI	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-CI	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-CM	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-CM	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-CM	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-CM	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-DJ	short	h:mm a	datetime.time.hm_12h	12h without seconds
fr-DJ	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
fr-DJ	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
fr-DJ	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
fr-DZ	short	h:mm a	datetime.time.hm_12h	12h without seconds
fr-DZ	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
fr-DZ	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
fr-DZ	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
fr-GA	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-GA	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-GA	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-GA	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-GF	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-GF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-GF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-GF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-GN	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-GN	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-GN	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-GN	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-GP	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-GP	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-GP	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-GP	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-GQ	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-GQ	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-GQ	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-GQ	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-HT	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-HT	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-HT	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-HT	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-KM	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-KM	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-KM	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-KM	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-LU	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-LU	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-LU	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-LU	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-MA	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-MA	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-MA	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-MA	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-MC	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-MC	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-MC	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-MC	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-MF	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-MF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-MF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-MF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-MG	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-MG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-MG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-MG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-ML	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-ML	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-ML	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-ML	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-MQ	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-MQ	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-MQ	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-MQ	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-MR	short	h:mm a	datetime.time.hm_12h	12h without seconds
fr-MR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
fr-MR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
fr-MR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
fr-MU	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-MU	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-MU	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-MU	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-NC	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-NC	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-NC	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-NC	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-NE	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-NE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-NE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-NE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-PF	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-PF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-PF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-PF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-PM	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-PM	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-PM	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-PM	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-RE	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-RE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-RE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-RE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-RW	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-RW	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-RW	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-RW	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-SC	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-SC	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-SC	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-SC	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-SN	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-SN	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-SN	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-SN	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-SY	short	h:mm a	datetime.time.hm_12h	12h without seconds
fr-SY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
fr-SY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
fr-SY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
fr-TD	short	h:mm a	datetime.time.hm_12h	12h without seconds
fr-TD	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
fr-TD	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
fr-TD	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
fr-TG	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-TG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-TG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-TG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-TN	short	h:mm a	datetime.time.hm_12h	12h without seconds
fr-TN	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
fr-TN	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
fr-TN	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
fr-VU	short	h:mm a	datetime.time.hm_12h	12h without seconds
fr-VU	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
fr-VU	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
fr-VU	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
fr-WF	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-WF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-WF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-WF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fr-YT	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-YT	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-YT	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-YT	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
frr	short	HH:mm	datetime.time.hm_24h	24h without seconds
frr	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
frr	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
frr	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fur	short	HH:mm	datetime.time.hm_24h	24h without seconds
fur	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fur	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fur	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
fy	short	HH:mm	datetime.time.hm_24h	24h without seconds
fy	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fy	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fy	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ga	short	HH:mm	datetime.time.hm_24h	24h without seconds
ga	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ga	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ga	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ga-GB	short	HH:mm	datetime.time.hm_24h	24h without seconds
ga-GB	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ga-GB	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ga-GB	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gaa	short	h:mm a	datetime.time.hm_12h	12h without seconds
gaa	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
gaa	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
gaa	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
gd	short	HH:mm	datetime.time.hm_24h	24h without seconds
gd	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
gd	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
gd	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gez	short	HH:mm	datetime.time.hm_24h	24h without seconds
gez	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
gez	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
gez	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gez-ER	short	HH:mm	datetime.time.hm_24h	24h without seconds
gez-ER	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
gez-ER	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
gez-ER	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gl	short	HH:mm	datetime.time.hm_24h	24h without seconds
gl	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
gl	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
gl	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gn	short	HH:mm	datetime.time.hm_24h	24h without seconds
gn	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
gn	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
gn	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gsw	short	HH:mm	datetime.time.hm_24h	24h without seconds
gsw	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
gsw	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
gsw	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gsw-FR	short	HH:mm	datetime.time.hm_24h	24h without seconds
gsw-FR	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
gsw-FR	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
gsw-FR	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gsw-LI	short	HH:mm	datetime.time.hm_24h	24h without seconds
gsw-LI	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
gsw-LI	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
gsw-LI	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gu	short	hh:mm a	datetime.time.hm_12h	12h without seconds
gu	medium	hh:mm:ss a	datetime.time.hms_12h	12h with seconds
gu	long	hh:mm:ss a z	datetime.time.hms_12h	12h with seconds
gu	full	hh:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
guz	short	HH:mm	datetime.time.hm_24h	24h without seconds
guz	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
guz	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
guz	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
gv	short	HH:mm	datetime.time.hm_24h	24h without seconds
gv	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
gv	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
gv	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ha	short	HH:mm	datetime.time.hm_24h	24h without seconds
ha	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ha	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ha	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ha-Arab	short	HH:mm	datetime.time.hm_24h	24h without seconds
ha-Arab	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ha-Arab	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ha-Arab	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ha-Arab-SD	short	HH:mm	datetime.time.hm_24h	24h without seconds
ha-Arab-SD	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
