locale	length	ldml_pattern	finetype_type	note
ar-SD	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-SO	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-SO	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-SO	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-SO	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-SS	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-SS	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-SS	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-SS	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-SY	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-SY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-SY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-SY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-TD	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-TD	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-TD	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-TD	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-TN	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-TN	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-TN	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-TN	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-YE	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-YE	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-YE	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-YE	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
arn	short	HH:mm	datetime.time.hm_24h	24h without seconds
arn	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
arn	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
arn	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
as	short	a h.mm	datetime.time.hm_12h	12h without seconds
as	medium	a h.mm.ss	datetime.time.hms_12h	12h with seconds
as	long	a h.mm.ss z	datetime.time.hms_12h	12h with seconds
as	full	a h.mm.ss zzzz	datetime.time.hms_12h	12h with seconds
asa	short	HH:mm	datetime.time.hm_24h	24h without seconds
asa	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
asa	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
asa	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ast	short	HH:mm	datetime.time.hm_24h	24h without seconds
ast	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ast	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ast	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
az	short	HH:mm	datetime.time.hm_24h	24h without seconds
az	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
az	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
az	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
az-Arab	short	HH:mm	datetime.time.hm_24h	24h without seconds
az-Arab	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
az-Arab	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
az-Arab	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
az-Arab-IQ	short	HH:mm	datetime.time.hm_24h	24h without seconds
az-Arab-IQ	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
az-Arab-IQ	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
az-Arab-IQ	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
az-Arab-TR	short	HH:mm	datetime.time.hm_24h	24h without seconds
az-Arab-TR	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
az-Arab-TR	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
az-Arab-TR	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
az-Cyrl	short	HH:mm	datetime.time.hm_24h	24h without seconds
az-Cyrl	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
az-Cyrl	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
az-Cyrl	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
az-Latn	short	HH:mm	datetime.time.hm_24h	24h without seconds
az-Latn	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
az-Latn	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
az-Latn	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ba	short	HH:mm	datetime.time.hm_24h	24h without seconds
ba	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ba	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ba	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bal	short	HH:mm	datetime.time.hm_24h	24h without seconds
bal	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bal	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bal	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bal-Arab	short	HH:mm	datetime.time.hm_24h	24h without seconds
bal-Arab	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bal-Arab	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bal-Arab	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bal-Latn	short	hh:mm a	datetime.time.hm_12h	12h without seconds
bal-Latn	medium	hh:mm:ss a	datetime.time.hms_12h	12h with seconds
