locale	width	mon	tue	wed	thu	fri	sat	sun
kgp	wide	pir-kurã-há	régre-kurã-há	tẽgtũ-kurã-há	vẽnhkãgra-kurã-há	pénkar-kurã-há	savnu	numĩggu
kgp	abbreviated	pir.	rég.	tẽg.	vẽn.	pén.	sav.	num.
khq	wide	Atini	Atalata	Alarba	Alhamiisa	Aljuma	Assabdu	Alhadi
khq	abbreviated	Ati	Ata	Ala	Alm	Alj	Ass	Alh
ki	wide	Njumatatũ	Njumaine	Njumatana	Aramithi	Njumaa	Njumamothi	Kiumia
ki	abbreviated	NTT	NMN	NMT	ART	NMA	NMM	KMA
kk	wide	дүйсенбі	сейсенбі	сәрсенбі	бейсенбі	жұма	сенбі	жексенбі
kk	abbreviated	дс	сс	ср	бс	жм	сб	жс
kk-Arab	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kk-Arab	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kk-Cyrl	wide	дүйсенбі	сейсенбі	сәрсенбі	бейсенбі	жұма	сенбі	жексенбі
kk-Cyrl	abbreviated	дс	сс	ср	бс	жм	сб	жс
kk-KZ	wide	дүйсенбі	сейсенбі	сәрсенбі	бейсенбі	жұма	сенбі	жексенбі
kk-KZ	abbreviated	дс	сс	ср	бс	жм	сб	жс
kkj	wide	lundi	mardi	mɛrkɛrɛdi	yedi	vaŋdɛrɛdi	mɔnɔ sɔndi	sɔndi
kkj	abbreviated	lundi	mardi	mɛrkɛrɛdi	yedi	vaŋdɛrɛdi	mɔnɔ sɔndi	sɔndi
kl	wide	ataasinngorneq	marlunngorneq	pingasunngorneq	sisamanngorneq	tallimanngorneq	arfininngorneq	sapaat
kl	abbreviated	ata	mar	pin	sis	tal	arf	sap
kln	wide	Kotaai	Koaeng’	Kosomok	Koang’wan	Komuut	Kolo	Kotisap
kln	abbreviated	Kot	Koo	Kos	Koa	Kom	Kol	Kts
km	wide	ច័ន្ទ	អង្គារ	ពុធ	ព្រហស្បតិ៍	សុក្រ	សៅរ៍	អាទិត្យ
km	abbreviated	ចន្ទ	អង្គារ	ពុធ	ព្រហ	សុក្រ	សៅរ៍	អាទិត្យ
kn	wide	ಸೋಮವಾರ	ಮಂಗಳವಾರ	ಬುಧವಾರ	ಗುರುವಾರ	ಶುಕ್ರವಾರ	ಶನಿವಾರ	ಭಾನುವಾರ
kn	abbreviated	ಸೋಮ	ಮಂಗಳ	ಬುಧ	ಗುರು	ಶುಕ್ರ	ಶನಿ	ಭಾನು
kok	wide	सोमार	मंगळार	बुधवार	बिरेस्तार	शुक्रार	शेनवार	आयतार
kok	abbreviated	सोमार	मंगळार	बुधवार	बिरेस्तार	शुक्रार	शेनवार	आयतार
kok-Deva	wide	सोमार	मंगळार	बुधवार	बिरेस्तार	शुक्रार	शेनवार	आयतार
kok-Deva	abbreviated	सोमार	मंगळार	बुधवार	बिरेस्तार	शुक्रार	शेनवार	आयतार
kok-Latn	wide	Somar	Mongllar	Budhvar	Birestar	Sukrar	Sonvar	Aitar
kok-Latn	abbreviated	Som	Mon	Bud	Bre	Suk	Son	Ait
kpe	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kpe	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kpe-GN	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kpe-GN	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ks	wide	ژٔندرٕروار	بۆموار	بودوار	برؠسوار	جُمہ	بٹوار	اَتھوار
ks	abbreviated	ژٔندٕروار	بۆموار	بودوار	برؠسوار	جُمہ	بٹوار	آتھوار
ks-Arab	wide	ژٔندرٕروار	بۆموار	بودوار	برؠسوار	جُمہ	بٹوار	اَتھوار
ks-Arab	abbreviated	ژٔندٕروار	بۆموار	بودوار	برؠسوار	جُمہ	بٹوار	آتھوار
ks-Deva	wide	च़ंदिरवार	बोमवार	बोदवार	ब्रेसवार	जुमा	बटवार	आथवार
ks-Deva	abbreviated	चंदिरवार	बुवार	बोदवार	ब्रेसवार	जुमा	बटवार	आथवार
ksb	wide	Jumaatatu	Jumaane	Jumaatano	Alhamisi	Ijumaa	Jumaamosi	Jumaapii
ksb	abbreviated	Jtt	Jmn	Jtn	Alh	Iju	Jmo	Jpi
ksf	wide	lǝndí	maadí	mɛkrɛdí	jǝǝdí	júmbá	samdí	sɔ́ndǝ
ksf	abbreviated	lǝn	maa	mɛk	jǝǝ	júm	sam	sɔ́n
ksh	wide	Mohndaach	Dinnsdaach	Metwoch	Dunnersdaach	Friidaach	Samsdaach	Sunndaach
ksh	abbreviated	Mo.	Di.	Me.	Du.	Fr.	Sa.	Su.
ku	wide	duşem	sêşem	çarşem	pêncşem	înî	şemî	yekşem
ku	abbreviated	dşm	sşm	çşm	pşm	înî	şem	yşm
kw	wide	dy Lun	dy Meurth	dy Merher	dy Yow	dy Gwener	dy Sadorn	dy Sul
kw	abbreviated	Lun	Mth	Mhr	Yow	Gwe	Sad	Sul
kxv	wide	smbara	mangaḍa	pudara	laki vara	sukru vara	sani vara	aadi vara
kxv	abbreviated	smba	manga	puda	laki	sukru	sani	aadi
kxv-Deva	wide	साॅम्वारा	मंगाड़ा	पुद्दारा	लाक्कि वारा	सुकुरु वारा	सान्नि वारा	आदि वारा
kxv-Deva	abbreviated	साॅम्मा	मान्गा	पूदा	लाक्की	सुकुरु	सान्नि	आदि
kxv-Latn	wide	smbara	mangaḍa	pudara	laki vara	sukru vara	sani vara	aadi vara
kxv-Latn	abbreviated	smba	manga	puda	laki	sukru	sani	aadi
kxv-Orya	wide	ସମ୍ବାରା	ମାଙ୍ଗାଡ଼ା	ପୁଦାରା	ଲାକି ୱାରା	ସୁକ୍ରୁ ୱାରା	ସାନି ୱାରା	ଆଦି ୱାରା
kxv-Orya	abbreviated	ସମ୍ବା	ମାଙ୍ଗା	ପୁଦା	ଲାକି	ସୁକ୍ରୁ	ସାନି	ଆଦି
kxv-Telu	wide	నమారా	మాంగాడా	వుదారా	లాకివరా	నుక్ వరా	సానివరా	వారమి
kxv-Telu	abbreviated	నమారా	మాంగాడా	వుదారా	లాకివరా	నుక్ వరా	సానివరా	వారమి
ky	wide	дүйшөмбү	шейшемби	шаршемби	бейшемби	жума	ишемби	жекшемби
ky	abbreviated	дүй.	шейш.	шарш.	бейш.	жума	ишм.	жек.
la	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
la	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
lag	wide	Jumatátu	Jumaíne	Jumatáano	Alamíisi	Ijumáa	Jumamóosi	Jumapíiri
lag	abbreviated	Táatu	Íne	Táano	Alh	Ijm	Móosi	Píili
lb	wide	Méindeg	Dënschdeg	Mëttwoch	Donneschdeg	Freideg	Samschdeg	Sonndeg
lb	abbreviated	Méi.	Dën.	Mët.	Don.	Fre.	Sam.	Son.
lg	wide	Balaza	Lwakubiri	Lwakusatu	Lwakuna	Lwakutaano	Lwamukaaga	Sabbiiti
lg	abbreviated	Bal	Lw2	Lw3	Lw4	Lw5	Lw6	Sab
lij	wide	lunesdì	mätesdì	mäcordì	zeuggia	venardì	sabbo	domenega
lij	abbreviated	lunesdì	mätesdì	mäcordì	zeuggia	venardì	sabbo	domenega
lkt	wide	Aŋpétuwaŋži	Aŋpétunuŋpa	Aŋpétuyamni	Aŋpétutopa	Aŋpétuzaptaŋ	Owáŋgyužažapi	Aŋpétuwakȟaŋ
lkt	abbreviated	Aŋpétuwaŋži	Aŋpétunuŋpa	Aŋpétuyamni	Aŋpétutopa	Aŋpétuzaptaŋ	Owáŋgyužažapi	Aŋpétuwakȟaŋ
lld	wide	lönesc	mertesc	mercui	jöbia	vëndres	sabeda	domënia
lld	abbreviated	lön	mert	merc	jöb	vën	sab	dom
lmo	wide	lundì	mardì	mercoldì	sgiovedì	venerdì	sabet	domenega
lmo	abbreviated	lundì	mardì	mercoldì	sgiovedì	venerdì	sabet	domenega
ln	wide	mokɔlɔ mwa yambo	mokɔlɔ mwa míbalé	mokɔlɔ mwa mísáto	mokɔlɔ ya mínéi	mokɔlɔ ya mítáno	mpɔ́sɔ	eyenga
ln	abbreviated	ybo	mbl	mst	min	mtn	mps	eye
ln-AO	wide	mokɔlɔ mwa yambo	mokɔlɔ mwa míbalé	mokɔlɔ mwa mísáto	mokɔlɔ ya mínéi	mokɔlɔ ya mítáno	mpɔ́sɔ	eyenga
ln-AO	abbreviated	ybo	mbl	mst	min	mtn	mps	eye
ln-CF	wide	mokɔlɔ mwa yambo	mokɔlɔ mwa míbalé	mokɔlɔ mwa mísáto	mokɔlɔ ya mínéi	mokɔlɔ ya mítáno	mpɔ́sɔ	eyenga
ln-CF	abbreviated	ybo	mbl	mst	min	mtn	mps	eye
ln-CG	wide	mokɔlɔ mwa yambo	mokɔlɔ mwa míbalé	mokɔlɔ mwa mísáto	mokɔlɔ ya mínéi	mokɔlɔ ya mítáno	mpɔ́sɔ	eyenga
ln-CG	abbreviated	ybo	mbl	mst	min	mtn	mps	eye
lo	wide	ວັນຈັນ	ວັນອັງຄານ	ວັນພຸດ	ວັນພະຫັດ	ວັນສຸກ	ວັນເສົາ	ວັນອາທິດ
lo	abbreviated	ຈັນ	ອັງຄານ	ພຸດ	ພະຫັດ	ສຸກ	ເສົາ	ອາທິດ
lrc	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
lrc	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
lrc-IQ	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
lrc-IQ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ltg	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ltg	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
lu	wide	Nkodya	Ndàayà	Ndangù	Njòwa	Ngòvya	Lubingu	Lumingu
lu	abbreviated	Nko	Ndy	Ndg	Njw	Ngv	Lub	Lum
luo	wide	Wuok Tich	Tich Ariyo	Tich Adek	Tich Ang’wen	Tich Abich	Ngeso	Jumapil
luo	abbreviated	WUT	TAR	TAD	TAN	TAB	NGS	JMP
luy	wide	Jumatatu	Jumanne	Jumatano	Murwa wa Kanne	Murwa wa Katano	Jumamosi	Jumapiri
luy	abbreviated	J3	J4	J5	Al	Ij	J1	J2
mai	wide	सोम दिन	मंगल दिन	बुध दिन	बृहस्पति दिन	शुक्र दिन	शनि दिन	रवि दिन
mai	abbreviated	सोम	मंगल	बुध	गुरु	शुक्र	शनि	रवि
mas	wide	Jumatátu	Jumane	Jumatánɔ	Alaámisi	Jumáa	Jumamósi	Jumapílí
mas	abbreviated	Jtt	Jnn	Jtn	Alh	Iju	Jmo	Jpi
mas-TZ	wide	Jumatátu	Jumane	Jumatánɔ	Alaámisi	Jumáa	Jumamósi	Jumapílí
mas-TZ	abbreviated	Jtt	Jnn	Jtn	Alh	Iju	Jmo	Jpi
mdf	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mdf	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mer	wide	Muramuko	Wairi	Wethatu	Wena	Wetano	Jumamosi	Kiumia
mer	abbreviated	MRA	WAI	WET	WEN	WTN	JUM	KIU
mfe	wide	lindi	mardi	merkredi	zedi	vandredi	samdi	dimans
mfe	abbreviated	lin	mar	mer	ze	van	sam	dim
mg	wide	Alatsinainy	Talata	Alarobia	Alakamisy	Zoma	Asabotsy	Alahady
mg	abbreviated	Alats	Tal	Alar	Alak	Zom	Asab	Alah
mgh	wide	Jumatatu	Jumanne	Jumatano	Arahamisi	Ijumaa	Jumamosi	Sabato
mgh	abbreviated	Jtt	Jnn	Jtn	Ara	Iju	Jmo	Sab
mgo	wide	Aneg 2	Aneg 3	Aneg 4	Aneg 5	Aneg 6	Aneg 7	Aneg 1
mgo	abbreviated	Aneg 2	Aneg 3	Aneg 4	Aneg 5	Aneg 6	Aneg 7	Aneg 1
mhn	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mhn	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mi	wide	Mane	Tūrei	Wenerei	Tāite	Paraire	Rāhoroi	Rātapu
mi	abbreviated	Man	Tūr	Wen	Tāi	Par	Rāh	Rāt
mic	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mic	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mk	wide	понеделник	вторник	среда	четврток	петок	сабота	недела
mk	abbreviated	пон.	вто.	сре.	чет.	пет.	саб.	нед.
ml	wide	തിങ്കളാഴ്‌ച	ചൊവ്വാഴ്ച	ബുധനാഴ്‌ച	വ്യാഴാഴ്‌ച	വെള്ളിയാഴ്‌ച	ശനിയാഴ്‌ച	ഞായറാഴ്‌ച
ml	abbreviated	തിങ്കൾ	ചൊവ്വ	ബുധൻ	വ്യാഴം	വെള്ളി	ശനി	ഞായർ
mn	wide	даваа	мягмар	лхагва	пүрэв	баасан	бямба	ням
mn	abbreviated	Да	Мя	Лх	Пү	Ба	Бя	Ня
mn-Mong	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mn-Mong	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mn-Mong-MN	wide	ᠳᠠᠸᠠ	ᠮᠢᠠᠠᠮᠠᠷ	ᡀᠠᠭᠪᠠ	ᠫᠦᠷᠪᠦ	ᠪᠠᠰᠠᠩ	ᠪᠢᠮᠪᠠ	ᠨᠢᠮ᠎ᠠ
mn-Mong-MN	abbreviated	ᠲᠠ	ᠮᠢᠭ	ᡀᠠ	ᠫᠥᠷ	ᠪᠠ	ᠪᠢᠮ	ᠨᠢ
mni	wide	নিংথৌকাবা	লৈবাকপোকপা	য়ুমশকৈশা	শগোলশেন	ইরাই	থাংজ	নোংমাইজিং
mni	abbreviated	নিংথৌকাবা	লৈবাকপোকপা	য়ুমশকৈশা	শগোলশেন	ইরাই	থাংজ	নোংমাইজিং
mni-Beng	wide	নিংথৌকাবা	লৈবাকপোকপা	য়ুমশকৈশা	শগোলশেন	ইরাই	থাংজ	নোংমাইজিং
mni-Beng	abbreviated	নিংথৌকাবা	লৈবাকপোকপা	য়ুমশকৈশা	শগোলশেন	ইরাই	থাংজ	নোংমাইজিং
mni-Mtei	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mni-Mtei	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
moh	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
moh	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mr	wide	सोमवार	मंगळवार	बुधवार	गुरुवार	शुक्रवार	शनिवार	रविवार
mr	abbreviated	सोम	मंगळ	बुध	गुरु	शुक्र	शनि	रवि
ms	wide	Isnin	Selasa	Rabu	Khamis	Jumaat	Sabtu	Ahad
ms	abbreviated	Isn	Sel	Rab	Kha	Jum	Sab	Ahd
ms-Arab	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ms-Arab	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ms-Arab-BN	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ms-Arab-BN	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ms-BN	wide	Isnin	Selasa	Rabu	Khamis	Jumaat	Sabtu	Ahad
ms-BN	abbreviated	Isn	Sel	Rab	Kha	Jum	Sab	Ahd
ms-ID	wide	Isnin	Selasa	Rabu	Khamis	Jumaat	Sabtu	Ahad
ms-ID	abbreviated	Isn	Sel	Rab	Kha	Jum	Sab	Ahd
ms-SG	wide	Isnin	Selasa	Rabu	Khamis	Jumaat	Sabtu	Ahad
ms-SG	abbreviated	Isn	Sel	Rab	Kha	Jum	Sab	Ahd
mt	wide	It-Tnejn	It-Tlieta	L-Erbgħa	Il-Ħamis	Il-Ġimgħa	Is-Sibt	Il-Ħadd
mt	abbreviated	Tne	Tli	Erb	Ħam	Ġim	Sib	Ħad
mua	wide	Comlaaɗii	Comzyiiɗii	Comkolle	Comkaldǝɓlii	Comgaisuu	Comzyeɓsuu	Com’yakke
mua	abbreviated	Cla	Czi	Cko	Cka	Cga	Cze	Cya
mus	wide	Enhvteceskv	Enhvteceskv Enhvyvtke	Ennvrkvpv	Ennvrkvpv Enhvyvtke	Nak Okkoskv Nettv	Nettv Cakʼcuse	Nettvʼcako
mus	abbreviated	Enhvteceskv	Enhvteceskv Enhvyvtke	Ennvrkvpv	Ennvrkvpv Enhvyvtke	Nak Okkoskv Nettv	Nettv Cakʼcuse	Nettvʼcako
my	wide	တနင်္လာ	အင်္ဂါ	ဗုဒ္ဓဟူး	ကြာသပတေး	သောကြာ	စနေ	တနင်္ဂနွေ
my	abbreviated	တနင်္လာ	အင်္ဂါ	ဗုဒ္ဓဟူး	ကြာသပတေး	သောကြာ	စနေ	တနင်္ဂနွေ
myv	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
myv	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mzn	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
mzn	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
naq	wide	Mantaxtsees	Denstaxtsees	Wunstaxtsees	Dondertaxtsees	Fraitaxtsees	Satertaxtsees	Sontaxtsees
naq	abbreviated	Ma	De	Wu	Do	Fr	Sat	Son
nb-SJ	wide	mandag	tirsdag	onsdag	torsdag	fredag	lørdag	søndag
nb-SJ	abbreviated	man.	tir.	ons.	tor.	fre.	lør.	søn.
nd	wide	Mvulo	Sibili	Sithathu	Sine	Sihlanu	Mgqibelo	Sonto
nd	abbreviated	Mvu	Sib	Sit	Sin	Sih	Mgq	Son
nds	wide	Maandag	Dingsdag	Middeweken	Dunnersdag	Freedag	Sünnavend	Sünndag
nds	abbreviated	Maandag	Dingsdag	Middeweken	Dunnersdag	Freedag	Sünnavend	Sünndag
nds-NL	wide	Maandag	Dingsdag	Middeweken	Dunnersdag	Freedag	Sünnavend	Sünndag
nds-NL	abbreviated	Maandag	Dingsdag	Middeweken	Dunnersdag	Freedag	Sünnavend	Sünndag
ne	wide	सोमबार	मङ्गलबार	बुधबार	बिहिबार	शुक्रबार	शनिबार	आइतबार
ne	abbreviated	सोम	मङ्गल	बुध	बिहि	शुक्र	शनि	आइत
ne-IN	wide	सोमबार	मङ्गलबार	बुधबार	बिहिबार	शुक्रबार	शनिबार	आइतबार
ne-IN	abbreviated	सोम	मङ्गल	बुध	बिहि	शुक्र	शनि	आइत
nl-AW	wide	maandag	dinsdag	woensdag	donderdag	vrijdag	zaterdag	zondag
nl-AW	abbreviated	ma	di	wo	do	vr	za	zo
nl-BQ	wide	maandag	dinsdag	woensdag	donderdag	vrijdag	zaterdag	zondag
nl-BQ	abbreviated	ma	di	wo	do	vr	za	zo
nl-CW	wide	maandag	dinsdag	woensdag	donderdag	vrijdag	zaterdag	zondag
nl-CW	abbreviated	ma	di	wo	do	vr	za	zo
nl-SR	wide	maandag	dinsdag	woensdag	donderdag	vrijdag	zaterdag	zondag
nl-SR	abbreviated	ma	di	wo	do	vr	za	zo
nl-SX	wide	maandag	dinsdag	woensdag	donderdag	vrijdag	zaterdag	zondag
nl-SX	abbreviated	ma	di	wo	do	vr	za	zo
nmg	wide	mɔ́ndɔ	sɔ́ndɔ mafú mába	sɔ́ndɔ mafú málal	sɔ́ndɔ mafú mána	mabágá má sukul	sásadi	sɔ́ndɔ
nmg	abbreviated	mɔ́n	smb	sml	smn	mbs	sas	sɔ́n
nnh	wide	mvfò lyɛ̌ʼ	mbɔ́ɔntè mvfò lyɛ̌ʼ	tsètsɛ̀ɛ lyɛ̌ʼ	mbɔ́ɔntè tsetsɛ̀ɛ lyɛ̌ʼ	mvfò màga lyɛ̌ʼ	màga lyɛ̌ʼ	lyɛʼɛ́ sẅíŋtè
nnh	abbreviated	mvfò lyɛ̌ʼ	mbɔ́ɔntè mvfò lyɛ̌ʼ	tsètsɛ̀ɛ lyɛ̌ʼ	mbɔ́ɔntè tsetsɛ̀ɛ lyɛ̌ʼ	mvfò màga lyɛ̌ʼ	màga lyɛ̌ʼ	lyɛʼɛ́ sẅíŋtè
no	wide	mandag	tirsdag	onsdag	torsdag	fredag	lørdag	søndag
no	abbreviated	man.	tir.	ons.	tor.	fre.	lør.	søn.
nqo	wide	ߞߐ߬ߓߊ߬ߟߏ߲	ߞߐ߬ߟߏ߲	ߞߎߣߎ߲ߟߏ߲	ߓߌߟߏ߲	ߛߌ߬ߣߌ߲߬ߟߏ߲	ߞߍ߲ߘߍߟߏ߲	ߞߊ߯ߙߌߟߏ߲
nqo	abbreviated	ߞߐ߬ߓ	ߞߐ߬ߟߏ߲	ߞߎߣ	ߓߌߟ	ߛߌ߬ߣ	ߞߍ߲ߘ	ߞߊ߯ߙ
nr	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
nr	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
nso	wide	Mošupologo	Labobedi	Laboraro	Labone	Labohlano	Mokibelo	Lamorena
nso	abbreviated	Mos	Bed	Rar	Ne	Hla	Mok	Lam
nus	wide	Jiec la̱t	Rɛw lätni	Diɔ̱k lätni	Ŋuaan lätni	Dhieec lätni	Bäkɛl lätni	Cäŋ kuɔth
nus	abbreviated	Jiec	Rɛw	Diɔ̱k	Ŋuaan	Dhieec	Bäkɛl	Cäŋ
nv	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
nv	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ny	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ny	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
nyn	wide	Orwokubanza	Orwakabiri	Orwakashatu	Orwakana	Orwakataano	Orwamukaaga	Sande
nyn	abbreviated	ORK	OKB	OKS	OKN	OKT	OMK	SAN
oc	wide	diluns	dimars	dimècres	dijòus	divendres	dissabte	dimenge
oc	abbreviated	diluns	dimars	dimècres	dijòus	divendres	dissabte	dimenge
oc-ES	wide	diluns	dimars	dimècres	dijòus	divendres	dissabte	dimenge
oc-ES	abbreviated	diluns	dimars	dimècres	dijòus	divendres	dissabte	dimenge
om	wide	Wiixata	Kibxata	Roobii	Kamisa	Jimaata	Sanbata	Dilbata
om	abbreviated	Wix	Kib	Rob	Kam	Jim	San	Dil
om-KE	wide	Wiixata	Kibxata	Roobii	Kamisa	Jimaata	Sanbata	Dilbata
om-KE	abbreviated	Wix	Kib	Rob	Kam	Jim	San	Dil
or	wide	ସୋମବାର	ମଙ୍ଗଳବାର	ବୁଧବାର	ଗୁରୁବାର	ଶୁକ୍ରବାର	ଶନିବାର	ରବିବାର
or	abbreviated	ସୋମ	ମଙ୍ଗଳ	ବୁଧ	ଗୁରୁ	ଶୁକ୍ର	ଶନି	ରବି
os	wide	къуырисӕр	дыццӕг	ӕртыццӕг	цыппӕрӕм	майрӕмбон	сабат	хуыцаубон
os	abbreviated	крс	дцг	ӕрт	цпр	мрб	сбт	хцб
os-RU	wide	къуырисӕр	дыццӕг	ӕртыццӕг	цыппӕрӕм	майрӕмбон	сабат	хуыцаубон
os-RU	abbreviated	крс	дцг	ӕрт	цпр	мрб	сбт	хцб
osa	wide	𐒹𐓘͘𐓬𐓘 𐓄𐓘𐓡𐓛͘𐓧𐓣	𐒹𐓘͘𐓬𐓘 𐓏𐓟𐓵𐓪͘𐓬𐓘	𐒹𐓘͘𐓬𐓘 𐓏𐓟𐓵𐓘𐓜𐓣	𐒹𐓘͘𐓬𐓘 𐓏𐓟𐓰𐓪𐓬𐓘	𐒹𐓘͘𐓬𐓘 𐓈𐓘 𐓵𐓘𐓲𐓘 𐓻𐓣͘	𐒹𐓘͘𐓬𐓘 𐓂𐓤𐓘𐓸𐓟 𐓣͘𐓤𐓟	𐒹𐓘͘𐓬𐓘 𐓏𐓘𐓤𐓘͘𐓰𐓘𐓤𐓣
osa	abbreviated	𐒹𐓘͘𐓬𐓘 𐓄𐓘𐓡𐓛͘𐓧𐓣	𐒹𐓘͘𐓬𐓘 𐓏𐓟𐓵𐓪͘𐓬𐓘	𐒹𐓘͘𐓬𐓘 𐓏𐓟𐓵𐓘𐓜𐓣	𐒹𐓘͘𐓬𐓘 𐓏𐓟𐓰𐓪𐓬𐓘	𐒹𐓘͘𐓬𐓘 𐓈𐓘 𐓵𐓘𐓲𐓘 𐓻𐓣͘	𐒹𐓘͘𐓬𐓘 𐓂𐓤𐓘𐓸𐓟 𐓣͘𐓤𐓟	𐒹𐓘͘𐓬𐓘 𐓏𐓘𐓤𐓘͘𐓰𐓘𐓤𐓣
pa	wide	ਸੋਮਵਾਰ	ਮੰਗਲਵਾਰ	ਬੁੱਧਵਾਰ	ਵੀਰਵਾਰ	ਸ਼ੁੱਕਰਵਾਰ	ਸ਼ਨਿੱਚਰਵਾਰ	ਐਤਵਾਰ
pa	abbreviated	ਸੋਮ	ਮੰਗਲ	ਬੁੱਧ	ਵੀਰ	ਸ਼ੁੱਕਰ	ਸ਼ਨਿੱਚਰ	ਐਤ
pa-Arab	wide	پیر	منگل	بُدھ	جمعرات	جمعہ	ہفتہ	اتوار
pa-Arab	abbreviated	پیر	منگل	بُدھ	جمعرات	جمعہ	ہفتہ	اتوار
pa-Guru	wide	ਸੋਮਵਾਰ	ਮੰਗਲਵਾਰ	ਬੁੱਧਵਾਰ	ਵੀਰਵਾਰ	ਸ਼ੁੱਕਰਵਾਰ	ਸ਼ਨਿੱਚਰਵਾਰ	ਐਤਵਾਰ
pa-Guru	abbreviated	ਸੋਮ	ਮੰਗਲ	ਬੁੱਧ	ਵੀਰ	ਸ਼ੁੱਕਰ	ਸ਼ਨਿੱਚਰ	ਐਤ
pap	wide	djaluna	djamars	djarason	djaweps	djabièrnè	djasabra	djadumingu
pap	abbreviated	djaluna	djamars	djarason	djaweps	djabièrnè	djasabra	djadumingu
pap-AW	wide	djaluna	djamars	djarason	djaweps	djabièrnè	djasabra	djadumingu
pap-AW	abbreviated	djaluna	djamars	djarason	djaweps	djabièrnè	djasabra	djadumingu
pcm	wide	Mọ́ndè	Tiúzdè	Wẹ́nẹ́zdè	Tọ́zdè	Fraídè	Sátọdè	Sọ́ndè
pcm	abbreviated	Mọ́n	Tiú	Wẹ́n	Tọ́z	Fraí	Sát	Sọ́n
pis	wide	Mande	Tiusde	Wenesde	Tosde	Fraede	Satade	Sande
pis	abbreviated	Mande	Tiusde	Wenesde	Tosde	Fraede	Satade	Sande
prg	wide	panadīli	wisasīdis	pussisawaiti	ketwirtiks	pēntniks	sabattika	nadīli
prg	abbreviated	panadīli	wisasīdis	pussisawaiti	ketwirtiks	pēntniks	sabattika	nadīli
ps	wide	دونۍ	درېنۍ	څلرنۍ	پينځنۍ	جمعه	اونۍ	يونۍ
ps	abbreviated	دونۍ	درېنۍ	څلرنۍ	پينځنۍ	جمعه	اونۍ	يونۍ
ps-PK	wide	دونۍ	درېنۍ	څلرنۍ	پينځنۍ	جمعه	اونۍ	يونۍ
ps-PK	abbreviated	دونۍ	درېنۍ	څلرنۍ	پينځنۍ	جمعه	اونۍ	يونۍ
pt-AO	wide	segunda-feira	terça-feira	quarta-feira	quinta-feira	sexta-feira	sábado	domingo
pt-AO	abbreviated	segunda	terça	quarta	quinta	sexta	sábado	domingo
pt-CH	wide	segunda-feira	terça-feira	quarta-feira	quinta-feira	sexta-feira	sábado	domingo
pt-CH	abbreviated	segunda	terça	quarta	quinta	sexta	sábado	domingo
pt-CV	wide	segunda-feira	terça-feira	quarta-feira	quinta-feira	sexta-feira	sábado	domingo
pt-CV	abbreviated	segunda	terça	quarta	quinta	sexta	sábado	domingo
pt-GQ	wide	segunda-feira	terça-feira	quarta-feira	quinta-feira	sexta-feira	sábado	domingo
