locale	length	ldml_pattern	normalized	finetype_type	note
pl	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt	medium	d 'de' MMM 'de' y	d MMM y	datetime.date.abbreviated_month	abbreviated month
pt	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ro	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
ro	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ro	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ro	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ru	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
ru	medium	d MMM y 'г'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
ru	long	d MMMM y 'г'.	d MMMM y	datetime.date.long_full_month	full month
ru	full	EEEE, d MMMM y 'г'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
sk	short	d. M. y	d. M. y	datetime.date.eu_dot	DMY dot
sk	medium	d. M. y	d. M. y	datetime.date.eu_dot	DMY dot
sk	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
sk	full	EEEE d. MMMM y	EEEE d. MMMM y	datetime.date.weekday_full_month	weekday + full month
sl	short	d. M. yy	d. M. yy	datetime.date.eu_dot	DMY dot
sl	medium	d. MMM y	d. MMM y	datetime.date.abbreviated_month	abbreviated month
sl	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
sl	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
sr-Latn	short	d. M. y.	d. M. y	datetime.date.eu_dot	DMY dot
sr-Latn	medium	d. M. y.	d. M. y	datetime.date.eu_dot	DMY dot
sr-Latn	long	d. MMMM y.	d. MMMM y	datetime.date.long_full_month	full month
sr-Latn	full	EEEE, d. MMMM y.	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
sv	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sv	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
sv	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
sv	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
tr	short	d.MM.y	d.MM.y	datetime.date.eu_dot	DMY dot
tr	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
tr	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
tr	full	d MMMM y EEEE	d MMMM y EEEE	datetime.date.weekday_full_month	weekday + full month
uk	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
uk	medium	d MMM y 'р'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
uk	long	d MMMM y 'р'.	d MMMM y	datetime.date.long_full_month	full month
uk	full	EEEE, d MMMM y 'р'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
aa	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
aa	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
aa	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
aa	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
aa-DJ	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
aa-DJ	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
aa-DJ	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
