locale	length	ldml_pattern	normalized	finetype_type	note
os-RU	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
os-RU	medium	dd MMM y 'аз'	dd MMM y	datetime.date.abbreviated_month	abbreviated month
os-RU	long	d MMMM, y 'аз'	d MMMM, y	datetime.date.long_full_month	full month
os-RU	full	EEEE, d MMMM, y 'аз'	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
osa	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
osa	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
osa	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
osa	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
pa	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
pa	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
pa	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
pa	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pa-Arab	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pa-Arab	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
pa-Arab	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
pa-Arab	full	EEEE, dd MMMM y	EEEE, dd MMMM y	datetime.date.weekday_full_month	weekday + full month
pa-Guru	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
pa-Guru	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
pa-Guru	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
pa-Guru	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pap	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
pap	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
pap	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
pap	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
pap-AW	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
pap-AW	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
pap-AW	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
pap-AW	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
pcm	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pcm	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
pcm	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
pcm	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pis	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
pis	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
pis	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
pis	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
prg	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
prg	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
prg	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
prg	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ps	short	y/M/d	y/M/d	datetime.date.iso	YMD slash
ps	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ps	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ps	full	EEEE د y د MMMM d	EEEE د y د MMMM d	datetime.date.weekday_full_month	weekday + full month
ps-PK	short	y/M/d	y/M/d	datetime.date.iso	YMD slash
ps-PK	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ps-PK	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ps-PK	full	EEEE د y د MMMM d	EEEE د y د MMMM d	datetime.date.weekday_full_month	weekday + full month
pt-AO	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-AO	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-AO	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-AO	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-CH	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-CH	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-CH	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-CH	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-CV	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-CV	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-CV	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-CV	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-GQ	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-GQ	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-GQ	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-GQ	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-GW	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-GW	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-GW	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-GW	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-LU	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-LU	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-LU	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-LU	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-MO	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-MO	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-MO	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-MO	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-MZ	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-MZ	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-MZ	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-MZ	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-PT	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-PT	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-PT	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-PT	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-ST	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-ST	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-ST	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-ST	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
pt-TL	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
pt-TL	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
pt-TL	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
pt-TL	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
qu	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
qu	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
qu	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
qu	full	EEEE, d MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
qu-BO	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
qu-BO	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
qu-BO	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
qu-BO	full	EEEE, d MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
qu-EC	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
qu-EC	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
qu-EC	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
qu-EC	full	EEEE, d MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
quc	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
quc	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
quc	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
quc	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
raj	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
raj	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
raj	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
raj	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
rhg	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
rhg	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
rhg	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
rhg	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
rhg-Rohg	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
rhg-Rohg	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
rhg-Rohg	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
rhg-Rohg	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
rhg-Rohg-BD	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
rhg-Rohg-BD	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
rhg-Rohg-BD	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
rhg-Rohg-BD	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
rif	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
rif	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
rif	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
rif	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
rm	short	dd-MM-yy	dd-MM-yy	datetime.date.eu_slash	DMY dash (eu_slash variant)
rm	medium	dd-MM-y	dd-MM-y	datetime.date.eu_slash	DMY dash (eu_slash variant)
rm	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
rm	full	EEEE, 'ils' d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
rn	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
rn	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
rn	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
rn	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
ro-MD	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
ro-MD	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ro-MD	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ro-MD	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
rof	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
rof	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
rof	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
rof	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ru-BY	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
ru-BY	medium	d MMM y 'г'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
ru-BY	long	d MMMM y 'г'.	d MMMM y	datetime.date.long_full_month	full month
ru-BY	full	EEEE, d MMMM y 'г'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ru-KG	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
ru-KG	medium	d MMM y 'г'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
ru-KG	long	d MMMM y 'г'.	d MMMM y	datetime.date.long_full_month	full month
ru-KG	full	EEEE, d MMMM y 'г'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ru-KZ	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
ru-KZ	medium	d MMM y 'г'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
ru-KZ	long	d MMMM y 'г'.	d MMMM y	datetime.date.long_full_month	full month
ru-KZ	full	EEEE, d MMMM y 'г'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ru-MD	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
ru-MD	medium	d MMM y 'г'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
ru-MD	long	d MMMM y 'г'.	d MMMM y	datetime.date.long_full_month	full month
ru-MD	full	EEEE, d MMMM y 'г'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ru-UA	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
ru-UA	medium	d MMM y 'г'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
ru-UA	long	d MMMM y 'г'.	d MMMM y	datetime.date.long_full_month	full month
ru-UA	full	EEEE, d MMMM y 'г'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
rw	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
rw	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
rw	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
rw	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
rwk	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
rwk	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
rwk	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
rwk	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
sa	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
sa	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
sa	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
sa	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
sah	short	yy/M/d	yy/M/d	datetime.date.iso	YMD slash
sah	medium	y, MMM d	y, MMM d	datetime.date.abbreviated_month	abbreviated month
sah	long	y, MMMM d	y, MMMM d	datetime.date.long_full_month	full month
sah	full	y 'сыл' MMMM d 'күнэ', EEEE	y MMMM d , EEEE	datetime.date.weekday_full_month	weekday + full month
saq	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
saq	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
saq	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
saq	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
sat	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
sat	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
sat	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
sat	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
sat-Deva	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sat-Deva	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sat-Deva	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sat-Deva	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
sat-Olck	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
sat-Olck	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
sat-Olck	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
sat-Olck	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
sbp	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
sbp	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
sbp	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
sbp	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
sc	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
sc	medium	d 'de' MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
sc	long	d 'de' MMMM 'de' 'su' y	d MMMM y	datetime.date.long_full_month	full month
sc	full	EEEE d 'de' MMMM 'de' 'su' y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
scn	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
scn	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
scn	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
scn	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
sd	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sd	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sd	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sd	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
sd-Arab	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sd-Arab	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sd-Arab	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sd-Arab	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
sd-Deva	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
sd-Deva	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
sd-Deva	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
sd-Deva	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
sdh	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sdh	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sdh	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sdh	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
sdh-IQ	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sdh-IQ	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sdh-IQ	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sdh-IQ	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
se	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
se	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
se	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
se	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
se-FI	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
se-FI	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
se-FI	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
se-FI	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
se-SE	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
se-SE	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
se-SE	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
se-SE	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
seh	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
seh	medium	d 'de' MMM 'de' y	d MMM y	datetime.date.abbreviated_month	abbreviated month
seh	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
seh	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ses	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
ses	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
ses	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ses	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
sg	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
sg	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
sg	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
sg	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
shi	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
shi	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
shi	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
shi	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
shi-Latn	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
shi-Latn	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
shi-Latn	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
shi-Latn	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
shi-Tfng	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
shi-Tfng	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
shi-Tfng	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
shi-Tfng	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
shn	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
shn	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
shn	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
shn	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
shn-TH	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
shn-TH	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
shn-TH	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
shn-TH	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
si	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
si	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
si	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
si	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
sid	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sid	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sid	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sid	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
skr	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
skr	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
skr	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
skr	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
sma	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sma	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sma	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sma	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
sma-NO	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sma-NO	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sma-NO	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sma-NO	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
smj	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
smj	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
smj	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
smj	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
smj-NO	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
smj-NO	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
smj-NO	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
smj-NO	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
smn	short	d.M.y	d.M.y	datetime.date.eu_dot	DMY dot
smn	medium	MMM d. y	MMM d. y	datetime.date.abbreviated_month	abbreviated month
smn	long	MMMM d. y	MMMM d. y	datetime.date.long_full_month	full month
smn	full	cccc, MMMM d. y	cccc, MMMM d. y	datetime.date.weekday_full_month	weekday + full month (alt)
sms	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sms	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sms	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sms	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
sn	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
sn	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
sn	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
sn	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
so	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
so	medium	dd-MMM-y	dd-MMM-y	datetime.date.abbreviated_month	abbreviated month
so	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
so	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
so-DJ	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
so-DJ	medium	dd-MMM-y	dd-MMM-y	datetime.date.abbreviated_month	abbreviated month
so-DJ	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
so-DJ	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
so-ET	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
so-ET	medium	dd-MMM-y	dd-MMM-y	datetime.date.abbreviated_month	abbreviated month
